name,ipc,l3_mpki,l3_acpki,mem_bwdth,avg_l2_miss_stalls,tot_l2_miss_stalls,l2_miss_stalls_pros_tot_cycles,l3_mpki_pros_l3_acpki,noise,sensitivity
502.gcc_r_bzip2,1.6736,0.0869279489,11.780578532,100.944,97635194.96,2440879874,0.0464949027,0.0073789202,1,1
502.gcc_r_O3,1.4568821293,1.3024737812,13.2300325367,389.6619771863,194985297.904943,51281133349,0.0892428757,0.0984482674,1,2
502.gcc_r_oggenc,1.6234246575,0.1002483558,8.8180433112,90.1123287671,75214699.2191781,5490673043,0.0349949185,0.0113685488,1,2
502.gcc_r_O0,1.7255319149,0.6221604609,8.9619159142,256.1829787234,108874204.914894,5117087631,0.0511048754,0.0694227068,1,1
502.gcc_r_O1,1.5031132075,0.6144142603,13.330586822,185.4820754717,143073188.009434,15165757929,0.0659806684,0.0460905636,1,2
502.gcc_r_mcf,1.4792857143,0.0684906303,9.3754610606,44.7357142857,34023972.8571429,476335620,0.034664907,0.007305308,1,1
502.gcc_r_gzip,1.4722222222,0.0663601412,10.6709094616,62.4388888889,85272388.7222222,1534902997,0.0412933222,0.0062187896,1,1
502.gcc_r_O2,1.4685714286,1.1771724993,13.7328978043,321.321978022,193392650.989011,35197462480,0.08866429,0.0857191626,1,2
502.gcc_r_Os,1.5126582278,0.6777993294,12.8925813521,187.0797468354,160592755.107595,25373655307,0.073686303,0.0525728177,1,2
502.gcc_r_lbm,1.8,0.0683519478,7.4624902235,55.2153846154,26088503.1538462,339150541,0.0263097401,0.009159402,1,1
502.gcc_r_g,1.6898039216,0.7988118274,10.7494065183,292.831372549,119916633.705882,6115748319,0.0561216996,0.0743121796,1,1
520.omnetpp_r_ring,0.9159793814,5.6421008532,26.1000387419,562.1824742268,726186558.546392,70440096179,0.334732754,0.2161721256,1,2
520.omnetpp_r_tree,0.9363265306,5.2116522535,26.0049074081,569.7275510204,710632958.520408,69642029935,0.3274715614,0.2004103369,1,2
520.omnetpp_r_star,0.9528235294,5.2298835212,25.2451463593,398.6270588235,699082033.588235,59421972855,0.32312909,0.2071639216,1,2
520.omnetpp_r_line,0.9067326733,5.5091380452,26.3318938032,643.3267326733,719233978.613861,72642631840,0.3314385312,0.209219211,1,2
520.omnetpp_r_rand27,0.9768518519,4.3694055588,25.8146232721,525.4074074074,665805404.027778,71906983635,0.3065207051,0.1692608686,1,2
520.omnetpp_r_rand9,0.9212745098,5.4711275406,26.1637590759,741.4715686275,723888020.77451,73836578119,0.3334306554,0.2091109127,1,2
520.omnetpp_r_rand18,0.9575862069,4.8393460298,26.1016433244,517.4206896552,689416758.508621,79972343987,0.3169365407,0.1854038832,1,2
505.mcf_r_test02,1.2461290323,14.1916685901,78.0802444784,2585.0193548387,466931731.548387,14474883678,0.219931949,0.1817574815,2,1
505.mcf_r_test03,1.1639393939,16.56461002,97.1077086355,2898.4387205387,615573009.592593,182825183849,0.2808077271,0.170579764,2,1
505.mcf_r_test01,0.8565070423,12.5469644623,214.4204376093,1720.6346478873,820055043.152113,291119540319,0.3739039093,0.0585157115,1,1
507.cactuBSSN_r_hshift,1.2632,2.9158210266,41.3901225719,790.128,302476417.17,30247641717,0.1392479398,0.0704472673,1,2
507.cactuBSSN_r_fdo8,1.0437908497,2.1654221971,66.4051540233,541.6444444444,398392836.875817,60954104042,0.1826751635,0.0326092489,1,2
507.cactuBSSN_r_lapse0,1.255959596,2.977858758,42.0723237991,828.3818181818,307511471.979798,30443635726,0.1416233843,0.070779517,1,2
507.cactuBSSN_r_shift0,1.2577777778,2.9822968375,41.6660226327,917.6616161616,306539607.818182,30347421174,0.141165626,0.0715762304,1,2
507.cactuBSSN_r_fdo6,1.1681818182,2.4939405326,50.2728690635,625.7107438017,323963225.305785,39199550262,0.1488077366,0.0496080804,1,2
507.cactuBSSN_r_conf1,1.232371134,3.1096084337,42.7089171447,809.6309278351,314319778.824742,30489018546,0.1449176336,0.0728093485,1,2
507.cactuBSSN_r_fdo2,1.2774698795,3.6088464374,38.7769426742,1015.965060241,306187436.277108,25413557211,0.1413919243,0.0930668121,1,2
523.xalancbmk_r_functions,2.3353164557,0.0404749721,7.865147121,21.9696202532,27050590.7974684,2136996673,0.0124756224,0.0051461176,1,2
523.xalancbmk_r_decoy,1.8633333333,0.0327042584,29.9738774486,5.7261904762,184120998.261905,7733081927,0.0860815546,0.001091092,1,2
523.xalancbmk_r_alphabetize,1.9968148148,0.6120014745,22.6472106272,1053.3651851852,20484163.3555556,2765362053,0.0137855665,0.0270232606,1,1
523.xalancbmk_r_xmark,1.947,0.7064464531,13.1463527628,33.1533333333,93739013.55,5624340813,0.0436974953,0.0537370681,1,2
510.parest_r_misfit,1.770653009,1.5287095837,26.5900715857,330.6376440461,66635314.787452,104084361698,0.0303112123,0.0574917438,1,1
510.parest_r_SD_FE_quadratic,1.8645525292,1.6805362714,20.2636636882,460.7653696498,69995385.8365759,17988814160,0.0319572549,0.0829334861,0,0
510.parest_r_TS_FE_quadratic,1.6041691249,18.4393937897,32.7868885655,4115.7612586037,167639107.431662,170488972258,0.0762849523,0.5624014536,2,1
519.lbm_r_square-high-small-ldc-short,1.07,18.6710722727,40.1035340404,3838.3189189189,13228815.7567568,978932366,0.0061013226,0.4655717437,2,1
519.lbm_r_square-high-small-channel-short,1.09,18.1196182678,39.3757514851,3768.724,12763449.0666667,957258680,0.0058845494,0.4601719989,2,1
519.lbm_r_square-low-large-channel-long,1.4286637931,13.5209366232,28.8591203191,3690.8743534483,6433979.08189655,2985366294,0.002931209,0.4685152033,2,1
519.lbm_r_low-large-channel-long,1.4219480519,13.6622240959,29.129904851,3732.0067099567,6662678.11471862,3078157289,0.0030355429,0.4690102548,2,1
519.lbm_r_square-high-small-channel-long,1.1031151242,18.1412529189,39.4071941665,3900.8939051919,12640605.6320542,5599788295,0.005759439,0.4603538339,2,1
519.lbm_r_low-small-ldc-short,1.4447435897,13.271387702,27.8599038719,3597.4333333333,6229837.16666667,485927299,0.0028705146,0.4763615755,2,1
519.lbm_r_square-low-large-ldc-long,1.4071086957,13.8711976737,29.1884193318,3674.9817391304,6530892.6673913,3004210627,0.0029754413,0.4752294914,2,1
519.lbm_r_square-low-large-ldc-short,1.3936363636,13.8578311956,29.2043227429,3718.4506493507,6367285.28571429,490280967,0.0029360902,0.4745130136,2,1
519.lbm_r_low-large-channel-short,1.401025641,13.6485569866,29.0881736399,3625.55,6733371.42307692,525202971,0.0031029768,0.4692132671,2,1
519.lbm_r_square-high-small-ldc-long,1.0802277904,18.6952973573,40.1569034289,3868.961047836,12799405.9384966,5618939207,0.0058323469,0.4655562496,2,1
519.lbm_r_high-large-ldc-short,1.0345205479,19.6685144473,41.903021011,3906.704109589,11403172.0958904,832431563,0.0052577011,0.4693817766,2,1
519.lbm_r_high-large-ldc-long,1.0444367816,19.6931237089,41.9304539089,3943.6675862069,11289511.1885057,4910937367,0.0051441515,0.4696615913,2,1
519.lbm_r_low-large-ldc-short,1.3793506494,14.0254141392,29.4958766482,3657.3142857143,6841525.02597403,526797427,0.0031538299,0.4755042309,2,1
519.lbm_r_high-large-channel-long,1.0746469248,18.964594202,40.9583629915,3883.9564920273,11062082.3963554,4856254172,0.0050406023,0.4630212933,2,1
519.lbm_r_high-small-ldc-short,0.8171830986,25.5533352103,54.4612461144,3960.4746478873,21568425.8309859,1531358234,0.0099546,0.4692021765,2,1
519.lbm_r_low-small-ldc-long,1.4581465517,13.2865256099,27.8605469173,3679.4482758621,6063967.35775862,2813680854,0.0027625357,0.4768939264,2,1
519.lbm_r_low-large-ldc-long,1.3933333333,14.0364228931,29.5241855889,3723.9455337691,6717191.5577342,3083190925,0.0030604353,0.4754211713,2,1
519.lbm_r_high-small-channel-short,0.8438888889,24.4351297056,52.7591880973,3927.5,21261187.0833333,1530805470,0.0098214406,0.4631445363,2,1
519.lbm_r_high-small-ldc-long,0.8238625592,25.5885953627,54.5558750308,4056.5682464455,21419273.3696682,9038933362,0.0097605196,0.4690346429,2,1
519.lbm_r_high-large-channel-short,1.0594594595,18.9553758338,40.9317315133,3843.4418918919,11421893.5,845220119,0.0052708905,0.4630973363,2,1
519.lbm_r_high-small-channel-long,0.8525995316,24.4537557935,52.8587363924,4002.1580796253,21090397.9508197,9005599925,0.0096103052,0.4626246759,2,1
519.lbm_r_low-small-channel-short,1.4643037975,12.9333564614,27.5525886935,3610.1405063291,5950183.64556962,470064508,0.0027452848,0.4694062182,2,1
519.lbm_r_square-low-large-channel-short,1.4124358974,13.5113455374,28.8084178324,3612.1641025641,6416391.3974359,500478529,0.0029561369,0.4690068582,2,1
519.lbm_r_low-small-channel-long,1.482008547,12.9500860372,27.5716862057,3737.558974359,5847982.92094017,2736856007,0.0026640658,0.4696878508,2,1
541.leela_r_long-13,1.2620627803,0.0008350009,0.6987341746,0.7004484305,5365028.50224215,1196401356,0.0024506649,0.0011950194,0,0
541.leela_r_short-13,1.2664634146,0.0010099333,0.8480584008,0.8317073171,5685846.6097561,466239422,0.002619582,0.001190877,0,0
541.leela_r_long-9,1.2701190476,0.0009923166,0.5744236553,0.7857142857,3975497.47619048,333941788,0.0018308304,0.0017274996,0,0
541.leela_r_long-19,1.2713918919,0.0007550235,0.75106838,0.6739189189,6143624.32297297,4546281999,0.0027969213,0.001005266,0,0
